customer_feedback,tenure,MonthlyCharges,Churn
Enjoying affordable rates and stable monthly charges.,71,89.9,0
Dependents find the network reliable and fast.,37,55.05,0
Tenure discounts made staying with this provider easy.,65,104.1,0
Enjoying good service quality over the years.,67,106.6,0
Frequent billing issues make the service frustrating.,49,75.2,1
I appreciate the flexible contract options.,50,70.5,0
Stable and affordable service throughout my tenure.,25,19.6,0
Partner and dependents also dissatisfied with service.,17,55.85,1
Great service with no interruptions during my tenure.,64,24.05,0
Happy with the consistent service over the years.,25,38.1,0
Dependents report frequent service interruptions.,23,106.4,1
Happy with the package offered for my household.,24,34.25,0
Great service with no interruptions during my tenure.,37,100.05,0
Online security features meet my needs well.,21,68.65,0
Billing is seamless with paperless billing.,1,45.8,0
Partnered plan has been cost-effective and reliable.,10,75.75,0
Tech support is not helpful during peak times.,6,84.4,1
Enjoying affordable rates and stable monthly charges.,51,96.4,0
Billing is seamless with paperless billing.,10,20.55,0
Easy setup and reliable network with no drops.,6,50.95,0
Tenure discounts made staying with this provider easy.,47,90.5,0
Enjoying affordable rates and stable monthly charges.,61,79.4,0
Flexible contract terms suit my needs perfectly.,52,58.75,0
Online security features meet my needs well.,35,59.45,0
Dependents find the network reliable and fast.,71,105.7,0
Frequent billing issues make the service frustrating.,6,56.25,1
Happy with the package offered for my household.,45,53.3,0
High charges without any added benefits.,2,85.55,1
Frequent network issues during peak usage.,4,68.65,1
Happy with the package offered for my household.,2,24.3,0
Contract terms do not accommodate long-term customers.,4,77.85,1
Happy with the package offered for my household.,51,59.9,0
The tech support team is quick and professional.,60,23.95,0
Paperless billing is convenient and eco-friendly.,9,20.15,0
Frequent contract changes without notice.,3,105.35,1
Dependents also use the service with no issues.,17,95.65,0
Contract terms feel rigid and hard to adjust.,8,87.05,1
Tech support has been quick and effective every time.,46,81.0,0
The partner-friendly plans fit our budget well.,68,82.45,0
Dependents face frequent network drops.,1,53.5,1
Happy with the package offered for my household.,4,20.5,0
Issues with online security features persisting.,1,25.1,1
Tech support was very helpful when I needed assistance.,28,54.4,0
Easy setup and reliable network with no drops.,39,58.6,0
Great experience with minimal downtime.,11,84.8,0
Partnered plan has been cost-effective and reliable.,71,61.4,0
Dependents find the network reliable and fast.,2,20.4,0
Monthly charges feel high for the service provided.,30,79.65,1
Paperless billing is convenient and eco-friendly.,17,20.15,0
Stable and affordable service throughout my tenure.,55,94.45,0
Flexible contract terms suit my needs perfectly.,58,79.8,0
Tech support often fails to resolve issues effectively.,5,54.2,1
Contract terms feel rigid and hard to adjust.,1,19.45,1
Partner and dependents also satisfied with the plan.,9,74.05,0
The support team made the setup process smooth.,26,49.15,0
Online security is a great added feature.,50,19.4,0
Tenure discounts made staying with this provider easy.,72,113.65,0
Satisfied with the support offered by tech specialists.,43,106.0,0
Online security is a great added feature.,56,25.95,0
Happy with the consistent service over the years.,1,19.1,0
Monthly charges feel high for the service provided.,72,103.4,1
Tenure discounts made staying with this provider easy.,72,100.55,0
Partnered plan has been cost-effective and reliable.,36,95.4,0
Tenure discounts make the service worth it.,5,75.15,0
Paperless billing errors are too common.,13,84.45,1
The support team made the setup process smooth.,44,89.15,0
Dependents find the network reliable and fast.,70,107.9,0
The tech support team is quick and professional.,44,19.5,0
Dependents complain of frequent disconnections.,32,85.95,1
Partner and dependents also satisfied with the plan.,69,24.95,0
Partnered plan lacks sufficient network stability.,16,59.4,1
Flexible contract terms suit my needs perfectly.,68,19.5,0
Online security is a great added feature.,16,69.95,0
Enjoying good service quality over the years.,68,82.85,0
Dependents also use the service with no issues.,4,19.0,0
Online security features keep my data safe.,26,38.85,0
Technical support often leaves issues unresolved.,29,30.6,1
Online security is a great added feature.,5,20.35,0
Flexible contracts that fit my lifestyle.,70,95.0,0
Online security features have given me peace of mind.,24,74.4,0
The partner-friendly plans fit our budget well.,72,78.45,0
Stable and affordable service throughout my tenure.,1,74.3,0
I appreciate the flexible contract options.,70,51.05,0
"Helpful tech support, available when needed.",36,19.2,0
Issues with online security features persisting.,38,99.55,1
Frequent network issues during peak usage.,17,70.0,1
Tech support was very helpful when I needed assistance.,41,109.1,0
Tenure discounts were not applied as promised.,1,45.3,1
Partnered plan lacks sufficient network stability.,2,29.85,1
Enjoying affordable rates and stable monthly charges.,14,76.45,0
Dependents face frequent network drops.,2,95.1,1
Monthly billing errors are a common occurrence.,1,19.8,1
Happy with the package offered for my household.,13,72.8,0
The tech support team is quick and professional.,6,18.95,0
Tech support often fails to resolve issues effectively.,4,76.65,1
Frequent billing issues make the service frustrating.,5,99.15,1
Happy with the package offered for my household.,15,101.75,0
Billing is seamless with paperless billing.,47,75.45,0
Happy with the consistent service over the years.,8,64.1,0
Great experience with minimal downtime.,17,25.65,0
Billing is seamless with paperless billing.,15,75.1,0
Enjoying affordable rates and stable monthly charges.,26,95.85,0
Tech support has been quick and effective every time.,23,54.4,0
Dependents find the network reliable and fast.,4,72.75,0
Clear billing process with no surprise charges.,29,19.85,0
Smooth billing system with paperless convenience.,25,19.05,0
Frequent outages even after being a long-term customer.,9,44.95,1
Tech support rarely resolves issues promptly.,18,49.55,1
The tech support team is quick and professional.,3,94.85,0
Great experience with minimal downtime.,69,46.25,0
Great experience with minimal downtime.,14,19.35,0
Enjoying affordable rates and stable monthly charges.,19,69.6,0
Good monthly rates and easy-to-understand billing.,39,90.7,0
Happy with the package offered for my household.,31,101.4,0
Online security features meet my needs well.,24,20.25,0
Monthly charges are reasonable for the service.,14,48.8,0
Great service with no interruptions during my tenure.,64,74.35,0
Tech support was very helpful when I needed assistance.,50,19.35,0
Flexible contract terms suit my needs perfectly.,52,68.75,0
Clear billing process with no surprise charges.,28,100.2,0
Monthly charges are reasonable for the service.,21,20.85,0
Contract terms feel rigid and hard to adjust.,25,95.9,1
Flexible contracts that fit my lifestyle.,17,19.35,0
Satisfied with the support offered by tech specialists.,58,45.0,0
Issues with online security features persisting.,17,81.5,1
Great experience with minimal downtime.,51,25.5,0
Smooth billing system with paperless convenience.,72,48.9,0
Contract terms feel rigid and hard to adjust.,52,84.1,1
I appreciate the flexible contract options.,27,19.6,0
Great experience with minimal downtime.,3,20.0,0
The tech support team is quick and professional.,64,81.3,0
Stable and affordable service throughout my tenure.,45,95.2,0
Tech support is not helpful during peak times.,3,36.45,1
Dependents find the network reliable and fast.,71,83.3,0
Online security seems inadequate compared to others.,1,25.05,1
Partner and dependents also satisfied with the plan.,58,20.3,0
Reliable monthly charges and no unexpected fees.,34,89.85,0
Dependents complain of frequent disconnections.,8,49.85,1
Online security is a great added feature.,15,19.8,0
Good monthly rates and easy-to-understand billing.,66,54.65,0
Dependents also use the service with no issues.,12,29.35,0
The partner-friendly plans fit our budget well.,58,19.15,0
Online security is a great added feature.,3,19.1,0
Partnered plan lacks sufficient network stability.,43,55.55,1
Flexible contracts that fit my lifestyle.,9,80.55,0
Great experience with minimal downtime.,3,20.25,0
Dependents complain of frequent disconnections.,22,69.5,1
Good monthly rates and easy-to-understand billing.,40,106.0,0
Easy setup and reliable network with no drops.,68,25.5,0
Online security seems inadequate compared to others.,54,104.3,1
Paperless billing is convenient and eco-friendly.,50,79.6,0
Happy with the package offered for my household.,1,55.25,0
Enjoying affordable rates and stable monthly charges.,72,88.05,0
Smooth billing system with paperless convenience.,40,20.4,0
Happy with the consistent service over the years.,72,117.6,0
The partner-friendly plans fit our budget well.,6,20.0,0
Tenure discounts make the service worth it.,5,19.65,0
Great experience with minimal downtime.,48,70.55,0
Frequent outages even after being a long-term customer.,1,93.85,1
Clear billing process with no surprise charges.,64,65.8,0
Happy with the package offered for my household.,17,20.05,0
Great experience with minimal downtime.,40,80.0,0
Partnered plan has been cost-effective and reliable.,41,35.4,0
Tenure discounts make the service worth it.,51,79.6,0
Great experience with minimal downtime.,41,80.25,0
Monthly charges have unexpected increases frequently.,1,50.45,1
Partnered plan has been cost-effective and reliable.,2,20.45,0
Satisfied with the support offered by tech specialists.,68,79.6,0
Enjoying affordable rates and stable monthly charges.,24,24.7,0
Online security is a great added feature.,70,77.3,0
Stable and affordable service throughout my tenure.,3,29.75,0
Great experience with minimal downtime.,2,44.9,0
Happy with the consistent service over the years.,3,29.8,0
Dependents complain of frequent disconnections.,7,74.65,1
Smooth billing system with paperless convenience.,13,71.95,0
Satisfied with the support offered by tech specialists.,7,20.75,0
Online security features have given me peace of mind.,12,56.3,0
Tenure discounts made staying with this provider easy.,53,105.25,0
Partnered plan does not seem cost-effective anymore.,12,94.2,1
Online security is a great added feature.,63,19.55,0
Tenure discounts made staying with this provider easy.,15,84.45,0
The partner-friendly plans fit our budget well.,36,53.65,0
The partner-friendly plans fit our budget well.,4,29.9,0
Easy setup and reliable network with no drops.,24,19.7,0
Great service with no interruptions during my tenure.,61,43.7,0
Happy with the package offered for my household.,16,55.3,0
Stable and affordable service throughout my tenure.,65,19.85,0
Tech support has been quick and effective every time.,26,19.65,0
Enjoying affordable rates and stable monthly charges.,16,49.45,0
Tech support response times are too slow.,54,106.55,1
The billing system is often confusing and inaccurate.,1,20.1,1
Online security is a great added feature.,5,20.45,0
Tenure discounts made staying with this provider easy.,19,39.7,0
Smooth billing system with paperless convenience.,10,54.5,0
Partnered plan does not seem cost-effective anymore.,23,83.8,1
Tech support response times are too slow.,3,55.15,1
"Helpful tech support, available when needed.",72,111.6,0
The billing system is often confusing and inaccurate.,10,86.65,1
Partnered plan has been cost-effective and reliable.,10,55.55,0
Partner and dependents also satisfied with the plan.,11,20.55,0
Tech support rarely resolves issues promptly.,37,106.75,1
The tech support team is quick and professional.,17,62.1,0
Dependents find the network reliable and fast.,36,104.5,0
Flexible contracts that fit my lifestyle.,17,101.8,0
Paperless billing is convenient and eco-friendly.,66,110.6,0
Online security features have given me peace of mind.,61,84.9,0
Dependents find the network reliable and fast.,22,93.2,0
Happy with the package offered for my household.,1,24.4,0
Tech support has been quick and effective every time.,6,70.55,0
Online security seems inadequate compared to others.,31,78.45,1
I appreciate the flexible contract options.,68,85.0,0
Dependents complain of frequent disconnections.,34,87.45,1
Happy with the consistent service over the years.,52,85.8,0
Happy with the package offered for my household.,10,91.1,0
Frequent outages even after being a long-term customer.,29,70.75,1
Clear billing process with no surprise charges.,72,20.1,0
"Helpful tech support, available when needed.",47,20.05,0
Tenure discounts make the service worth it.,24,74.8,0
Flexible contracts that fit my lifestyle.,65,24.8,0
Tenure discounts made staying with this provider easy.,4,100.85,0
Tenure discounts were not applied as promised.,12,101.35,1
Dependents complain of frequent disconnections.,1,81.7,1
Contract terms feel rigid and hard to adjust.,33,68.25,1
Partnered plan has been cost-effective and reliable.,34,105.1,0
Great experience with minimal downtime.,14,20.4,0
Issues with online security features persisting.,4,79.15,1
Online security features have given me peace of mind.,13,20.0,0
Good monthly rates and easy-to-understand billing.,65,79.4,0
The support team made the setup process smooth.,23,57.2,0
Happy with the package offered for my household.,55,58.6,0
Happy with the consistent service over the years.,49,94.8,0
Great service with no interruptions during my tenure.,60,102.5,0
Flexible contract terms suit my needs perfectly.,69,20.35,0
Online security is a great added feature.,40,84.9,0
Partner and dependents also satisfied with the plan.,67,69.2,0
Monthly charges have unexpected increases frequently.,35,95.45,1
Partnered plan does not seem cost-effective anymore.,19,100.95,1
Happy with the package offered for my household.,13,20.85,0
Flexible contract terms suit my needs perfectly.,41,88.5,0
Monthly charges are reasonable for the service.,4,35.0,0
Flexible contract terms suit my needs perfectly.,24,55.15,0
Online security features have given me peace of mind.,5,50.95,0
Tech support was very helpful when I needed assistance.,5,64.0,0
Frequent billing issues make the service frustrating.,1,69.1,1
Tech support has been quick and effective every time.,72,80.2,0
Partnered plan has been cost-effective and reliable.,24,49.3,0
Satisfied with the support offered by tech specialists.,42,84.35,0
Billing is seamless with paperless billing.,4,20.05,0
Tenure discounts made staying with this provider easy.,68,117.2,0
Tenure discounts made staying with this provider easy.,33,20.1,0
Online security lags compared to competitors.,31,103.45,1
Contract terms feel rigid and hard to adjust.,4,77.95,1
Online security features have given me peace of mind.,69,109.95,0
Paperless billing is convenient and eco-friendly.,38,94.75,0
Great service with no interruptions during my tenure.,3,80.0,0
Monthly charges are reasonable for the service.,48,79.65,0
Reliable monthly charges and no unexpected fees.,15,25.2,0
Dependents find the network reliable and fast.,25,19.9,0
High charges without any added benefits.,1,78.45,1
Billing is seamless with paperless billing.,48,44.8,0
Billing is seamless with paperless billing.,1,20.3,0
Enjoying good service quality over the years.,1,19.2,0
Online security features have given me peace of mind.,37,80.05,0
Online security is a great added feature.,66,107.35,0
The tech support team is quick and professional.,26,47.85,0
Online security features meet my needs well.,63,70.8,0
The online security features feel minimal.,10,29.5,1
Online security seems inadequate compared to others.,2,70.75,1
Online security features meet my needs well.,18,59.1,0
Easy setup and reliable network with no drops.,64,25.55,0
Technical support often leaves issues unresolved.,9,84.45,1
Satisfied with the support offered by tech specialists.,28,20.25,0
Great service with no interruptions during my tenure.,1,75.55,0
Partner and dependents also dissatisfied with service.,4,85.65,1
High charges without any added benefits.,38,70.15,1
Good monthly rates and easy-to-understand billing.,66,95.3,0
Dependents also use the service with no issues.,1,70.25,0
Online security is a great added feature.,18,50.3,0
Monthly charges feel high for the service provided.,51,97.8,1
"Helpful tech support, available when needed.",0,19.85,0
Monthly charges have unexpected increases frequently.,1,46.3,1
Online security features keep my data safe.,12,19.35,0
Frequent billing issues make the service frustrating.,41,106.3,1
Paperless billing is convenient and eco-friendly.,12,25.0,0
Online security features keep my data safe.,55,20.3,0
Flexible contract terms suit my needs perfectly.,7,75.35,0
Dependents face frequent network drops.,12,89.4,1
Online security features have given me peace of mind.,68,88.0,0
Frequent billing issues make the service frustrating.,5,83.15,1
Happy with the consistent service over the years.,49,43.8,0
Satisfied with the support offered by tech specialists.,40,62.05,0
I appreciate the flexible contract options.,16,20.1,0
Monthly charges have unexpected increases frequently.,10,74.15,1
The partner-friendly plans fit our budget well.,72,101.35,0
Online security features keep my data safe.,2,84.05,0
Online security features meet my needs well.,23,20.9,0
Happy with the consistent service over the years.,71,105.9,0
Billing statements are often unclear or incorrect.,11,99.5,1
Tenure discounts were not applied as promised.,1,44.15,1
Service quality drops significantly during peak hours.,16,53.9,1
Monthly charges feel high for the service provided.,1,85.45,1
Happy with the consistent service over the years.,12,85.05,0
Partnered plan has been cost-effective and reliable.,54,44.1,0
Online security features meet my needs well.,68,90.2,0
Paperless billing errors are too common.,4,50.85,1
Service quality drops significantly during peak hours.,1,59.2,1
Great service with no interruptions during my tenure.,27,53.45,0
Tenure discounts made staying with this provider easy.,21,19.95,0
Online security lags compared to competitors.,13,83.2,1
Paperless billing is convenient and eco-friendly.,64,74.65,0
Contract terms do not accommodate long-term customers.,1,54.9,1
Paperless billing is convenient and eco-friendly.,57,57.5,0
Dependents report frequent service interruptions.,21,103.9,1
Monthly charges are reasonable for the service.,19,19.65,0
Happy with the package offered for my household.,31,93.8,0
Tenure discounts made staying with this provider easy.,52,89.25,0
Monthly charges are reasonable for the service.,46,94.15,0
Good monthly rates and easy-to-understand billing.,11,55.6,0
Paperless billing is convenient and eco-friendly.,53,48.7,0
Dependents report frequent service interruptions.,11,19.25,1
Great service with no interruptions during my tenure.,57,104.9,0
Paperless billing fails to capture accurate details.,2,75.45,1
High charges without any added benefits.,2,54.85,1
Online security is a great added feature.,71,19.9,0
Great experience with minimal downtime.,1,19.4,0
Great experience with minimal downtime.,68,25.05,0
Flexible contract terms suit my needs perfectly.,72,84.45,0
The support team made the setup process smooth.,2,19.3,0
Paperless billing errors are too common.,1,95.1,1
Tech support has been quick and effective every time.,41,79.85,0
Happy with the package offered for my household.,72,25.55,0
Tech support often fails to resolve issues effectively.,6,75.5,1
Support team rarely resolves issues in one call.,4,73.75,1
Dependents complain of frequent disconnections.,12,96.05,1
Easy setup and reliable network with no drops.,58,68.4,0
Tenure discounts made staying with this provider easy.,7,20.65,0
Enjoying affordable rates and stable monthly charges.,65,55.15,0
Stable and affordable service throughout my tenure.,1,70.6,0
Enjoying good service quality over the years.,56,19.95,0
Dependents also use the service with no issues.,4,19.0,0
Stable and affordable service throughout my tenure.,58,44.1,0
Happy with the consistent service over the years.,62,107.6,0
Paperless billing is convenient and eco-friendly.,26,61.55,0
Enjoying good service quality over the years.,62,90.7,0
Online security features have given me peace of mind.,58,99.25,0
Partner and dependents also satisfied with the plan.,68,91.7,0
Tenure discounts made staying with this provider easy.,61,100.7,0
Tenure discounts make the service worth it.,42,78.45,0
Online security features have given me peace of mind.,18,84.3,0
Partnered plan has been cost-effective and reliable.,56,19.55,0
Technical support often leaves issues unresolved.,4,88.95,1
Happy with the consistent service over the years.,4,20.45,0
Partnered plan has been cost-effective and reliable.,35,55.6,0
Online security is a great added feature.,64,86.8,0
Happy with the package offered for my household.,31,20.95,0
Tech support was very helpful when I needed assistance.,67,20.05,0
Frequent network issues during peak usage.,4,50.7,1
The support team made the setup process smooth.,70,113.65,0
Contract terms do not accommodate long-term customers.,3,53.4,1
Monthly billing errors are a common occurrence.,53,101.9,1
Tenure discounts make the service worth it.,2,59.5,0
The partner-friendly plans fit our budget well.,29,87.8,0
Enjoying affordable rates and stable monthly charges.,47,41.9,0
Contract terms feel rigid and hard to adjust.,68,83.0,1
Online security is a great added feature.,12,69.85,0
Monthly charges are reasonable for the service.,8,56.3,0
Great service with no interruptions during my tenure.,54,109.55,0
Smooth billing system with paperless convenience.,69,92.15,0
Dependents find the network reliable and fast.,26,69.5,0
Tenure discounts make the service worth it.,72,97.0,0
Monthly charges are reasonable for the service.,70,58.35,0
Frequent outages even after being a long-term customer.,1,50.6,1
Frequent contract changes without notice.,10,89.5,1
Good monthly rates and easy-to-understand billing.,28,70.4,0
Contract renewal terms lack flexibility.,1,69.8,1
Enjoying affordable rates and stable monthly charges.,21,94.3,0
The online security features feel minimal.,51,93.8,1
"Helpful tech support, available when needed.",53,19.55,0
"Helpful tech support, available when needed.",53,95.95,0
Dependents face frequent network drops.,24,101.05,1
Tenure discounts made staying with this provider easy.,70,94.8,0
Tech support was very helpful when I needed assistance.,61,107.75,0
Smooth billing system with paperless convenience.,11,54.6,0
Tech support has been quick and effective every time.,2,71.3,0
Satisfied with the support offered by tech specialists.,25,19.5,0
Dependents also use the service with no issues.,41,56.3,0
Paperless billing fails to capture accurate details.,18,94.7,1
Support team rarely resolves issues in one call.,72,104.15,1
Online security is a great added feature.,71,90.55,0
Tech support has been quick and effective every time.,34,60.8,0
Flexible contract terms suit my needs perfectly.,29,98.8,0
Great service with no interruptions during my tenure.,40,98.15,0
Dependents also use the service with no issues.,36,35.35,0
Tech support has been quick and effective every time.,46,103.15,0
Reliable monthly charges and no unexpected fees.,58,107.75,0
Flexible contracts that fit my lifestyle.,39,81.4,0
Partner and dependents also dissatisfied with service.,4,61.45,1
The tech support team is quick and professional.,52,95.7,0
Dependents also use the service with no issues.,70,104.8,0
Online security features have given me peace of mind.,65,70.95,0
Clear billing process with no surprise charges.,1,44.95,0
Reliable monthly charges and no unexpected fees.,70,97.65,0
The support team made the setup process smooth.,29,35.65,0
Issues with online security features persisting.,1,90.55,1
Enjoying affordable rates and stable monthly charges.,67,85.25,0
Tech support has been quick and effective every time.,1,19.5,0
The billing system is often confusing and inaccurate.,26,88.8,1
Tenure discounts made staying with this provider easy.,30,25.1,0
Enjoying good service quality over the years.,48,100.05,0
Easy setup and reliable network with no drops.,55,55.7,0
Frequent billing issues make the service frustrating.,7,85.2,1
The support team made the setup process smooth.,37,91.15,0
Happy with the consistent service over the years.,31,83.85,0
Tenure discounts made staying with this provider easy.,4,45.9,0
Billing is seamless with paperless billing.,72,25.1,0
Contract terms feel rigid and hard to adjust.,5,91.4,1
Enjoying affordable rates and stable monthly charges.,1,19.7,0
The tech support team is quick and professional.,15,91.5,0
Great experience with minimal downtime.,8,51.3,0
Clear billing process with no surprise charges.,35,21.1,0
Reliable monthly charges and no unexpected fees.,56,104.75,0
High charges without any added benefits.,42,106.15,1
Stable and affordable service throughout my tenure.,65,85.75,0
Online security features meet my needs well.,2,20.3,0
Partner and dependents also satisfied with the plan.,65,100.75,0
The support team made the setup process smooth.,18,74.15,0
Happy with the package offered for my household.,23,78.55,0
Support team rarely resolves issues in one call.,4,45.3,1
Partnered plan has been cost-effective and reliable.,70,19.85,0
Happy with the package offered for my household.,4,50.7,0
Tech support was very helpful when I needed assistance.,19,45.0,0
Online security features keep my data safe.,18,77.8,0
Tech support was very helpful when I needed assistance.,38,83.45,0
High charges without any added benefits.,2,73.25,1
Clear billing process with no surprise charges.,47,94.8,0
Clear billing process with no surprise charges.,52,20.1,0
Flexible contract terms suit my needs perfectly.,9,59.9,0
Great service with no interruptions during my tenure.,26,90.1,0
Tech support rarely resolves issues promptly.,8,51.05,1
Reliable monthly charges and no unexpected fees.,44,70.95,0
Great service with no interruptions during my tenure.,3,29.2,0
Tech support has been quick and effective every time.,2,46.6,0
Partner and dependents also dissatisfied with service.,9,85.35,1
Service quality drops significantly during peak hours.,1,75.35,1
Stable and affordable service throughout my tenure.,25,74.3,0
"Helpful tech support, available when needed.",2,69.3,0
Tech support rarely resolves issues promptly.,43,75.2,1
Partner and dependents also dissatisfied with service.,1,20.9,1
Partnered plan has been cost-effective and reliable.,58,94.3,0
Tech support was very helpful when I needed assistance.,59,76.45,0
Enjoying affordable rates and stable monthly charges.,44,54.0,0
Partner and dependents also satisfied with the plan.,66,104.25,0
Tenure discounts make the service worth it.,68,19.95,0
Easy setup and reliable network with no drops.,9,24.95,0
Satisfied with the support offered by tech specialists.,19,84.75,0
Flexible contracts that fit my lifestyle.,4,19.75,0
Flexible contracts that fit my lifestyle.,70,113.65,0
Flexible contract terms suit my needs perfectly.,1,44.9,0
Tenure discounts make the service worth it.,8,75.25,0
Happy with the package offered for my household.,53,24.6,0
Satisfied with the support offered by tech specialists.,51,25.0,0
Billing is seamless with paperless billing.,11,20.95,0
Online security features meet my needs well.,60,110.6,0
Dependents find the network reliable and fast.,17,55.5,0
Issues with online security features persisting.,3,43.3,1
Dependents complain of frequent disconnections.,70,109.5,1
Flexible contract terms suit my needs perfectly.,1,19.45,0
Stable and affordable service throughout my tenure.,43,84.85,0
Partnered plan has been cost-effective and reliable.,16,19.6,0
Easy setup and reliable network with no drops.,57,53.45,0
Satisfied with the support offered by tech specialists.,37,19.8,0
Flexible contracts that fit my lifestyle.,72,112.1,0
Frequent outages even after being a long-term customer.,11,84.8,1
Tech support often fails to resolve issues effectively.,50,95.05,1
Billing statements are often unclear or incorrect.,5,50.35,1
Tech support response times are too slow.,1,74.6,1
Online security lags compared to competitors.,16,19.7,1
I appreciate the flexible contract options.,2,74.2,0
Dependents find the network reliable and fast.,17,69.0,0
Great experience with minimal downtime.,16,19.35,0
Issues with online security features persisting.,15,59.45,1
Stable and affordable service throughout my tenure.,10,19.8,0
Technical support often leaves issues unresolved.,46,105.2,1
Monthly charges are reasonable for the service.,64,109.2,0
Easy setup and reliable network with no drops.,1,79.15,0
"Helpful tech support, available when needed.",25,53.65,0
Online security features have given me peace of mind.,71,100.2,0
Frequent contract changes without notice.,8,45.15,1
Smooth billing system with paperless convenience.,72,108.65,0
Online security features keep my data safe.,49,40.65,0
The support team made the setup process smooth.,29,55.35,0
Enjoying good service quality over the years.,72,105.6,0
Contract terms feel rigid and hard to adjust.,31,93.8,1
Happy with the consistent service over the years.,50,95.7,0
Partner and dependents also satisfied with the plan.,71,83.2,0
Dependents find the network reliable and fast.,70,90.05,0
I appreciate the flexible contract options.,71,97.65,0
Paperless billing is convenient and eco-friendly.,61,68.05,0
The billing system is often confusing and inaccurate.,32,96.2,1
Issues with online security features persisting.,1,79.6,1
Reliable monthly charges and no unexpected fees.,68,102.1,0
Satisfied with the support offered by tech specialists.,62,23.4,0
Online security features have given me peace of mind.,7,71.05,0
Contract renewal terms lack flexibility.,20,85.25,1
Good monthly rates and easy-to-understand billing.,6,19.45,0
Billing is seamless with paperless billing.,33,59.45,0
Satisfied with the support offered by tech specialists.,28,92.2,0
"Helpful tech support, available when needed.",27,19.85,0
Dependents also use the service with no issues.,7,43.9,0
High charges without any added benefits.,26,80.5,1
Dependents face frequent network drops.,5,89.8,1
Good monthly rates and easy-to-understand billing.,30,90.5,0
Online security features keep my data safe.,63,90.45,0
Paperless billing errors are too common.,1,50.75,1
Happy with the package offered for my household.,53,84.6,0
Monthly charges feel high for the service provided.,14,89.65,1
The tech support team is quick and professional.,21,99.15,0
Flexible contract terms suit my needs perfectly.,17,19.95,0
Tenure discounts made staying with this provider easy.,16,20.5,0
Online security features meet my needs well.,35,62.1,0
The support team made the setup process smooth.,32,79.5,0
The partner-friendly plans fit our budget well.,28,19.55,0
Great service with no interruptions during my tenure.,1,20.35,0
Happy with the package offered for my household.,59,51.7,0
Flexible contracts that fit my lifestyle.,72,23.3,0
Monthly charges are inconsistent and unpredictable.,36,65.4,1
Online security features have given me peace of mind.,40,65.1,0
Online security features meet my needs well.,40,81.2,0
Billing statements are often unclear or incorrect.,9,72.9,1
Satisfied with the support offered by tech specialists.,63,74.5,0
"Helpful tech support, available when needed.",3,80.5,0
Great experience with minimal downtime.,40,60.3,0
Billing is seamless with paperless billing.,8,75.0,0
Online security features have given me peace of mind.,34,90.15,0
Dependents face frequent network drops.,5,40.0,1
Partnered plan lacks sufficient network stability.,9,99.45,1
Enjoying good service quality over the years.,9,69.05,0
Paperless billing is convenient and eco-friendly.,31,59.7,0
Billing is seamless with paperless billing.,50,19.85,0
High charges without any added benefits.,2,86.25,1
Issues with online security features persisting.,1,45.65,1
Dependents report frequent service interruptions.,8,70.1,1
"Helpful tech support, available when needed.",9,40.75,0
High charges without any added benefits.,2,70.2,1
Frequent outages even after being a long-term customer.,3,55.35,1
Dependents also use the service with no issues.,25,95.7,0
Paperless billing is convenient and eco-friendly.,1,46.3,0
Happy with the consistent service over the years.,45,81.3,0
Billing statements are often unclear or incorrect.,51,84.2,1
Easy setup and reliable network with no drops.,55,20.0,0
Tenure discounts made staying with this provider easy.,38,66.15,0
The billing system is often confusing and inaccurate.,2,45.85,1
Clear billing process with no surprise charges.,38,19.6,0
Reliable monthly charges and no unexpected fees.,34,49.8,0
Happy with the consistent service over the years.,70,101.75,0
Reliable monthly charges and no unexpected fees.,13,55.15,0
Tenure discounts were not applied as promised.,39,75.25,1
The partner-friendly plans fit our budget well.,61,103.95,0
Tech support is not helpful during peak times.,12,100.15,1
Online security is a great added feature.,41,99.65,0
Billing is seamless with paperless billing.,21,73.7,0
Good monthly rates and easy-to-understand billing.,55,50.05,0
Stable and affordable service throughout my tenure.,69,60.25,0
Frequent contract changes without notice.,26,105.75,1
Stable and affordable service throughout my tenure.,69,87.3,0
Tenure discounts were not applied as promised.,18,48.35,1
Great experience with minimal downtime.,47,54.25,0
Enjoying affordable rates and stable monthly charges.,72,85.3,0
Flexible contract terms suit my needs perfectly.,33,50.0,0
Frequent network issues during peak usage.,2,24.4,1
Online security features meet my needs well.,72,90.95,0
Dependents also use the service with no issues.,37,72.25,0
"Helpful tech support, available when needed.",62,96.1,0
Enjoying good service quality over the years.,71,19.85,0
"Helpful tech support, available when needed.",23,55.3,0
Smooth billing system with paperless convenience.,16,20.1,0
Enjoying good service quality over the years.,9,69.5,0
Great service with no interruptions during my tenure.,17,25.15,0
The billing system is often confusing and inaccurate.,4,20.95,1
Monthly charges feel high for the service provided.,1,49.55,1
Billing is seamless with paperless billing.,24,79.65,0
The partner-friendly plans fit our budget well.,1,71.25,0
Online security is a great added feature.,72,113.8,0
Easy setup and reliable network with no drops.,72,24.55,0
Happy with the consistent service over the years.,11,19.7,0
Tech support rarely resolves issues promptly.,9,20.25,1
Service quality drops significantly during peak hours.,2,50.15,1
Smooth billing system with paperless convenience.,60,100.5,0
Monthly charges are inconsistent and unpredictable.,29,95.9,1
Tenure discounts make the service worth it.,49,74.45,0
